№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания
28888;850ПВ;Иванович Кондрат Андреeвич;В приказ;Первый;79,48;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,31;без отличия;нет;;нет;да;нет;22.01.2019 9:17
28889;851ПВ;Тимофеевич Терентий Иванович;В приказ;Первый;81,4;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,55;без отличия;нет;;нет;да;нет;22.01.2019 9:34
28890;852ПВ;Александров Степан Дмитриeвич;Отказ;Первый;34,17;Биофак;очная;Нормативный;2 года 00 мес.;2 (второй) курс;06.04.2001;Биология;Магистратура;Переводы, восстановления;Диплом бакалавра;85,42;без отличия;нет;Согласно Порядка перевода,отчисления и восстановления пункт 1.2;нет;да;нет;22.01.2019 10:06
28891;853ПВ;Кондратов Кирилл Трофимович;В приказ;Первый;93,68;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,96;без отличия;нет;;нет;да;нет;22.01.2019 10:21
28892;854ПВ;Владимиренко Фаина Кондратовна;В приказ;Первый;89,4;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,8;без отличия;нет;;нет;да;нет;22.01.2019 10:39
28893;855ПВ;Иванова Александра Серафимовна;Отказ;Первый;36,56;Физтех;заочная;Нормативный;4 года 00 мес.;4 (четвертый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,57;без отличия;нет;Согласно Порядка перевода,отчисления и восстановления пункт 1.2;нет;да;нет;22.01.2019 11:10
28894;856ПВ;Степанович Тимофей Петрович;В приказ;Первый;82,04;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,63;без отличия;нет;;нет;да;нет;22.01.2019 11:30
28895;857ПВ;Андреенко Наталья Александровна;В приказ;Первый;82,56;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,32;без отличия;нет;;нет;да;нет;22.01.2019 11:45
28896;858ПВ;Александренко Ульяна Андреeвна;В приказ;Первый;69,32;Филфак;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;68,3;без отличия;да;;нет;да;нет;22.01.2019 12:13
28897;859ПВ;Глебенко Яна Семеновна;В приказ;Первый;87,68;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;51.03.01;Культурология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,96;без отличия;нет;;да;да;нет;22.01.2019 13:23
28898;860ПВ;Андреенко Кирилл Трофимович;В приказ;Первый;80,52;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,44;без отличия;нет;;нет;да;нет;22.01.2019 13:40
28899;861ПВ;Иванович Семен Кондратович;В приказ;Первый;84,04;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,88;без отличия;нет;;да;да;нет;22.01.2019 13:57
28900;862ПВ;Алексеенко Александр Тимофеeвич;В приказ;Первый;82,2;Истфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,65;без отличия;нет;;нет;да;нет;22.01.2019 14:22
28901;863ПВ;Игнатович Вера Дмитриeвна;В приказ;Первый;67,6;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;20.03.2001;Техносферная безопасность;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;3,2;без отличия;да;;нет;да;нет;22.01.2019 15:07
28902;864ПВ;Кондратенко Кондрат Николаeвич;В приказ;Первый;81,12;Химфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;04.05.2001;Фундаментальная и прикладная химия;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;4,14;без отличия;да;;нет;да;нет;22.01.2019 15:23
28903;865ПВ;Трофимович Зинаида Терентиeвна;В приказ;Первый;102,2;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;золотая медаль;нет;;да;да;нет;22.01.2019 15:43
28904;866ПВ;Петрова Элеонора Трофимовна;В приказ;Первый;86,36;Экономфак;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,42;без отличия;нет;;нет;да;нет;22.01.2019 15:59
28905;867ПВ;Серафимовская Вероника Петровна;В приказ;Первый;85,04;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,48;без отличия;нет;;нет;да;нет;22.01.2019 16:12
28906;868ПВ;Степанович Ольга Алексеeвна;В приказ;Первый;70,88;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,36;без отличия;да;;нет;да;нет;23.01.2019 11:21
28907;869ПВ;Трофименко Людмила Дмитриeвна;В приказ;Первый;73,12;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;20.03.2001;Техносферная безопасность;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;3,89;без отличия;да;;нет;да;нет;23.01.2019 11:59
28908;870ПВ;Александрович Людмила Владимировна;В приказ;Первый;78,76;ФМИТ;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;4,22;без отличия;нет;;нет;да;нет;23.01.2019 12:18
28909;871ПВ;Терентиевская Марина Алексеeвна;В приказ;Первый;77,52;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,44;без отличия;да;;нет;да;нет;23.01.2019 13:31
28910;872ПВ;Петрович Фаина Ивановна;В приказ;Первый;71,64;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,08;без отличия;да;;нет;да;нет;23.01.2019 13:49
28911;873ПВ;Семенович Варвара Тимофеeвна;В приказ;Первый;69,48;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;3,81;без отличия;да;;нет;да;нет;23.01.2019 14:39
28912;874ПВ;Семенов Иван Петрович;В приказ;Первый;76,0;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,25;без отличия;нет;;нет;да;нет;23.01.2019 15:04
40489;874ПВ;Семенов Иван Петрович;В приказ;Второй;73,6;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,25;без отличия;нет;;нет;да;нет;22.07.2019 11:38
40322;875ПВ;Тимофеевский Николай Николаeвич;В приказ;Второй;85,6;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;без отличия;нет;;нет;да;нет;18.07.2019 11:24
28913;875ПВ;Тимофеевский Николай Николаeвич;В приказ;Первый;82,0;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;без отличия;нет;;нет;да;нет;23.01.2019 15:17
28914;876ПВ;Иннокентиевская Элеонора Николаeвна;В приказ;Первый;66,0;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;10.03.2001;Информационная безопасность;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;3,75;без отличия;нет;;нет;да;нет;23.01.2019 15:42
28915;877ПВ;Николаев Иван Игнатович;В приказ;Первый;64,8;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;10.03.2001;Информационная безопасность;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;3,6;без отличия;нет;;нет;да;нет;23.01.2019 15:53
28916;878ПВ;Иннокентиев Трофим Андреeвич;В приказ;Первый;77,12;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,39;без отличия;нет;;нет;да;нет;23.01.2019 16:18
28917;879ПВ;Серафименко Галина Ивановна;В приказ;Первый;88,56;Учфин;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;38.03.01;Экономика (Профиль: Экономическая теория);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,92;без отличия;нет;;нет;да;нет;23.01.2019 16:36
28918;880ПВ;Серафимовский Трофим Игнатович;В приказ;Первый;75,28;Филфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;37.05.02;Психология служебной деятельности;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;4,16;без отличия;нет;;нет;да;нет;24.01.2019 9:35
28919;881ПВ;Тимофеева Лариса Владимировна;В приказ;Первый;87,36;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2004;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,92;без отличия;нет;;да;да;нет;24.01.2019 10:54
28920;882ПВ;Терентиевский Владимир Иванович;В приказ;Первый;86,08;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2004;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,76;без отличия;нет;;да;да;нет;24.01.2019 11:06
28921;883ПВ;Кириллова Александра Владимировна;В приказ;Первый;81,92;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.2004;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,24;без отличия;нет;;да;да;нет;24.01.2019 11:16
28922;884ПВ;Николаенко Серафим Степанович;Отказ;Первый;78,2;УНИЭК;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;4,15;без отличия;нет;По собственному желанию;да;да;нет;24.01.2019 11:43
28923;885ПВ;Семеновский Дмитрий Борисович;В приказ;Первый;83,8;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,85;без отличия;нет;;нет;да;нет;24.01.2019 11:58
28924;886ПВ;Степаненко Наталья Николаeвна;В приказ;Первый;82,4;УНИЭК;очная;Нормативный;4 года 00 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;4,3;без отличия;нет;;да;да;нет;24.01.2019 13:28
28925;887ПВ;Андреев Семен Дмитриeвич;В приказ;Первый;76,0;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;5,0;без отличия;да;;нет;да;нет;24.01.2019 14:05
28926;888ПВ;Игнатович Дмитрий Николаeвич;В приказ;Первый;78,36;УНИЭК;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,17;без отличия;да;;нет;да;нет;24.01.2019 16:26
28930;889ПВ;Семенович Андрей Андреeвич;В приказ;Первый;90,56;Экономфак;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,57;без отличия;нет;;нет;да;нет;24.01.2019 16:42
28931;890ПВ;Серафимов Владимир Дмитриeвич;В приказ;Первый;76,36;Учфин;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Финансы и кредит);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;3,92;без отличия;да;;нет;да;нет;29.01.2019 14:43
28932;891ПВ;Глебенко Инна Серафимовна;В приказ;Первый;78,1;ИФКС;очная;Нормативный;4 года 00 мес.;3 (третий) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;77,2;без отличия;да;;да;да;нет;03.06.2019 9:48
28933;892ПВ;Андреевич Фаина Алексеeвна;В приказ;Первый;90,2;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;95,4;без отличия;да;;да;да;нет;03.06.2019 9:48
28934;893ПВ;Степановский Игнат Александрович;В приказ;Первый;72,9;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;65,8;без отличия;да;;нет;да;нет;03.06.2019 9:49
28935;894ПВ;Александренко Терентий Борисович;В приказ;Первый;82,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;80,0;без отличия;да;;нет;да;нет;03.06.2019 9:50
28936;895ПВ;Трофимовский Андрей Владимирович;В приказ;Первый;68,85;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;145,7;без отличия;да;;нет;да;нет;03.06.2019 9:50
28937;896ПВ;Глебова Наталья Петровна;В приказ;Первый;75,5;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;159,0;без отличия;да;;да;да;нет;03.06.2019 9:50
28938;897ПВ;Тимофеева Тамара Трофимовна;В приказ;Первый;67,4;ИФКС;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;151,8;без отличия;да;;нет;да;нет;03.06.2019 9:50
28939;898ПВ;Иваненко Глеб Терентиeвич;В приказ;Первый;64,25;ИФКС;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;144,5;без отличия;да;;да;да;нет;03.06.2019 9:50
28940;899ПВ;Глебова Анастасия Тимофеeвна;В приказ;Первый;82,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;80,0;без отличия;да;;нет;да;нет;03.06.2019 9:50
28941;900ПВ;Трофименко Светлана Дмитриeвна;В приказ;Первый;97,5;ИФКС;очная;Нормативный;4 года 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;99,0;без отличия;нет;;да;да;нет;03.06.2019 9:50
40587;900ПВ;Трофименко Светлана Дмитриeвна;В приказ;Второй;85,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;99,0;без отличия;нет;;нет;да;нет;05.08.2019 15:13
28942;901ПВ;Андреевич Зинаида Тимофеeвна;В приказ;Первый;89,15;ИФКС;очная;Нормативный;4 года 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;186,3;без отличия;да;;да;да;нет;03.06.2019 9:51
28943;902ПВ;Кирилленко Людмила Игнатовна;В приказ;Первый;92,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;200,0;без отличия;да;;нет;да;нет;03.06.2019 9:51
28944;903ПВ;Семенова Зинаида Терентиeвна;В приказ;Первый;60,8;ИФКС;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;131,6;без отличия;да;;да;да;нет;03.06.2019 9:51
28945;904ПВ;Владимировский Трофим Иннокентиeвич;В приказ;Первый;66,05;ИФКС;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;60,1;без отличия;да;;да;да;нет;03.06.2019 9:51
28951;905ПВ;Игнатович Кондрат Глебович;В приказ;Первый;77,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;62,0;без отличия;да;;нет;да;нет;03.06.2019 9:58
28952;906ПВ;Трофимовская Анна Серафимовна;В приказ;Первый;93,5;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;100,0;без отличия;да;;нет;да;нет;03.06.2019 9:59
28957;907ПВ;Степановский Петр Серафимович;В приказ;Первый;65,6;ИФКС;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;147,2;без отличия;да;;нет;да;нет;03.06.2019 10:00
28958;908ПВ;Семенович Семен Владимирович;В приказ;Первый;74,9;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;65,8;без отличия;да;;да;да;нет;03.06.2019 10:00
28959;909ПВ;Кондратовская Лариса Трофимовна;В приказ;Первый;72,0;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;60,0;без отличия;да;;нет;да;нет;03.06.2019 10:01
